hamming_loss,exact_match,precision_micro,recall_micro,f1_micro,f1_macro,mc_uncertainty_mean_var,target,activation,best_hidden_dim_fold5,best_lr_fold5,best_dropout_fold5
0.20872952319941432,0.06705237027546444,0.3869957728595506,0.7873198270339526,0.5188803178285099,0.3800896440550169,0.008405210975823658,GDS,ReLU,64,0.01,0.3
0.14266362374546232,0.7489149583600255,0.7647842533494722,0.8266696028187059,0.7943639472353051,0.6159125977307524,0.006723793602681586,GDS_R1,ReLU,64,0.001,0.5
0.22582078795643817,0.549583600256246,0.6265206709476904,0.7970811979500321,0.7014411249652752,0.6573112652513031,0.007450655550097249,GDS_R2,ReLU,64,0.001,0.3
0.18005885650224215,0.8186018577834722,0.8202565124381268,0.8194947149263292,0.8198714953437705,0.7332120763078661,0.0042537298964037155,GDS_R3,ReLU,16,0.01,0.3
0.25051916506512917,0.5308696348494555,0.6121414618976733,0.6818465727098013,0.6446379661303804,0.5578181294527511,0.006977681310049125,GDS_R4,ReLU,64,0.001,0.2
0.26330343796711514,0.4004564381806534,0.5761450363751924,0.807839525944907,0.6710313497281726,0.592478361649457,0.004788174826119628,GDS_R5,ReLU,32,0.01,0.2
0.20475942619200146,0.0777706598334401,0.3919941242203435,0.7819666880204996,0.5221269258266,0.3744318758646269,0.00598136066276181,GDS,Mish,32,0.01,0.3
0.13165305359812085,0.7667680973734785,0.7803170521245322,0.8418521780909674,0.8097900696674329,0.6295907496793067,0.0056879496667534115,GDS_R1,Mish,64,0.001,0.5
0.22493727311552422,0.5522461563100577,0.626103438205314,0.8069146380525304,0.7050636836143971,0.6625265991242101,0.0038403515612506975,GDS_R2,Mish,16,0.001,0.3
0.17605301089045483,0.822161274823831,0.8245223500231414,0.823054131966688,0.8237798752807051,0.739227316052412,0.005544362744382981,GDS_R3,Mish,16,0.01,0.5
0.2686992846465941,0.4959521140294683,0.586109086436866,0.6594931133888533,0.6203465854498467,0.542597553625244,0.006319960123593253,GDS_R4,Mish,16,0.01,0.3
0.2791092782404442,0.3735826393337604,0.557594958801249,0.7855180973734786,0.6517224953999861,0.5840861465425568,0.004187884151802531,GDS_R5,Mish,64,0.001,0.3
